model,source,pc1,pc2
finetune,posterior,4.640803337097168,-0.16714681684970856
finetune,posterior,-13.020870208740234,-0.24365194141864777
finetune,posterior,-3.378523826599121,-0.19993409514427185
finetune,posterior,4.608052730560303,-0.1647408902645111
finetune,posterior,4.608052730560303,-0.1647408902645111
finetune,posterior,-4.1507062911987305,-0.18294383585453033
finetune,posterior,-2.3855643272399902,-0.19537141919136047
finetune,posterior,-2.616361618041992,-0.1961599886417389
finetune,posterior,9.247425079345703,-0.11657308042049408
finetune,posterior,-1.4525816440582275,-0.19132287800312042
finetune,posterior,-0.44584059715270996,-0.18671968579292297
finetune,posterior,0.2837895154953003,-0.17206799983978271
finetune,posterior,8.540858268737793,-0.14034134149551392
finetune,posterior,-2.6973209381103516,-0.19626286625862122
finetune,posterior,-6.360147476196289,-0.21304377913475037
finetune,posterior,-8.546296119689941,-0.22401343286037445
finetune,posterior,-8.880305290222168,-0.22515176236629486
finetune,posterior,-5.94995641708374,-0.2111932933330536
finetune,posterior,-1.7418123483657837,-0.19288232922554016
finetune,posterior,1.043368935585022,-0.1686573326587677
finetune,posterior,5.040342807769775,-0.16701683402061462
finetune,posterior,2.985042095184326,-0.1570001095533371
finetune,posterior,-5.711753845214844,-0.20999673008918762
finetune,posterior,1.2935956716537476,-0.182273268699646
finetune,posterior,-3.2693099975585938,-0.20007766783237457
finetune,posterior,-1.691136121749878,-0.19213521480560303
finetune,posterior,-6.458007335662842,-0.21447624266147614
finetune,posterior,-5.954084396362305,-0.2112460881471634
finetune,posterior,3.0223841667175293,-0.1550774723291397
finetune,posterior,5.0222487449646,-0.16250251233577728
finetune,posterior,-12.911031723022461,-0.2429778128862381
finetune,posterior,5.640780448913574,-0.14432799816131592
finetune,posterior,-0.43082600831985474,-0.18666522204875946
finetune,posterior,-5.883084297180176,-0.2109335958957672
finetune,posterior,9.95719051361084,-0.13607288897037506
finetune,posterior,2.5722360610961914,-0.16083955764770508
finetune,posterior,2.754134178161621,-0.15685811638832092
finetune,posterior,16.870649337768555,-0.12857040762901306
finetune,posterior,-5.601264476776123,-0.20934981107711792
finetune,posterior,1.305287480354309,-0.1814676821231842
finetune,posterior,1.0929234027862549,-0.16861779987812042
finetune,posterior,-2.299710988998413,-0.19456039369106293
finetune,posterior,-13.052800178527832,-0.24332980811595917
finetune,posterior,-2.479407787322998,-0.19541902840137482
